# 內建常用詞表：yumete 分詞器沒有數據時的兜底（Feature #24）。
#
# 格式：一行一條，`詞<TAB>權重`（空格也行）；空行與 `#` 開頭的行跳過。權重是
# 相對詞頻，越大越常見，最大概率分詞路徑用它打分。
#
# **這是兜底，不是主詞典。** 機器上有宇浩數據時（跑過 `scripts/build.sh`），
# `w`／`b`／`e` 這些詞移動與 `:word-show` 的疊層走的是宇浩自己的表：`lang.ywl`
# 是詞庫、`lang.ywtb` 是詞頻、`lang.ygram` 是同一份語料訓出來的模型。使用者也
# 可以在數據目錄放一份更大的 `segmentation.txt` 蓋過本表。
#
# 本表就是「什麼數據都沒有」那一刻剩下的東西——新克隆、第一次跑、CI。
#
# ── 怎麼生成的 ──────────────────────────────────────────────────────────
# 源頭是宇浩語言模型 `data/lang.txt`（2,547,652 條純漢字多字詞，二三四字）。
# 那份表**沒有繁簡標誌**，只有 `詞 ⇥ 權重`；軌是按**字**判出來的，用宇浩自己的
# 三份數據：
#
#   data/simptrad.txt          簡繁對照 → 簡體專用字 2,545（头学）、
#                              繁體專用字 2,980（頭學）、其餘傳承字（眼睛）
#   data/charsets/tai.txt      常用∪次常用國字標準字體表（臺）11,151 字
#   data/charsets/tongfan.txt  通規標準繁体字（大陸標準繁體）8,197 字
#
# 後兩者相減就是字形分歧：台繁專用 337 字（為裡說內吳強）、陸繁專用 283 字
# （爲裏説内吴强）、兩繁共用 2,360 字（頭學進）。於是五軌，判詞由窄到寬、
# 第一條命中即定軌，各軌內部按原詞頻排序取前 N：
#
#   一致     全庫   410,441 條 → 前 25,000，末條權重  1,307   例 眼睛 微笑 酒杯
#   簡      全庫 1,026,592 條 → 前 15,000，末條權重  4,565   例 一个 我们 说道
#   繁      全庫   898,279 條 → 前 15,000，末條權重    593   例 頭髮 進行 美國
#   台繁     全庫   169,824 條 → 前 10,000，末條權重     84   例 因為 這裡 說道
#   通規繁    全庫    42,516 條 → 前 10,000，末條權重      0   例 作爲 這裏 説道
#
# ⚠️ **不能直接取全表前 N 條。** 語料以簡體為主，一刀切下去「抬头」8,108 進表而
# 「抬頭」714 落選，繁體寫作者處處掉回單字。也**不要改成「每個字都在某字集」再取
# 併集**：三個字集在「繁簡一致」那一批上高度重疊，名額 46% 撞車，同樣 907 KB 只換到
# 8,509 條繁體詞（本表 35,000 條）。
#
# 合計 75,000 條、1019 KB；詞長 二34,227／三23,371／四17,388，
# 所以 DP 的 `max_len` 是 4。
#
# ⚠️ **不要手工增刪。** 要換大小就重跑上面那一步改配額；照字形機械折換簡繁是錯的
# （宇浩詞表繁簡各自收，約 1.3% 沒有孿生條目）。
上海	265698
位于	265474
群众	265309
这个问题	265139
记者	265109
举行	264583
来自	264403
服务器	262105
另外	261968
只是	261093
成功	260833
坚持	260779
进行了	260612
经过	260206
人们	260183
感觉	259835
全球	259205
同志	257954
今天	257920
他们的	256497
用于	256465
领导	254705
市场	254676
学生	253931
进入	253852
过程中	253732
解决	252052
印度	251986
模式	251508
工人	251213
一次	251186
我的	250475
提出	249783
工业	249571
必须	249352
命令	249339
造成	248859
保护	246969
故事	246774
导致	246722
开展	246688
制度	246385
增加	246261
题主	245034
社会	243474
城市	242693
作用	242160
最近	242039
国内	241749
学校	241716
网站	241153
基本	240326
帮助	240101
一下	238957
设计	238553
希望	238251
随着	237950
业务	237597
有些	237474
以下	237470
而是	236206
运动	236157
报告	235943
理论	235733
不同的	235228
经验	235166
东西	235151
原因	234995
事情	234236
反对	234194
如下	233958
过程	233548
那些	233350
资源	233302
中国人民	233013
成立	232344
市镇	231790
科技	231671
第一次	230866
游戏	230852
帝国主义	230841
作品	229465
也有	229147
答案	229010
标准	228944
大数据	228535
行业	228218
运行	227459
一直	227360
受到	227347
一起	227322
精神	226453
提升	226183
特征	225739
如何看待	225598
等等	225388
中心	224776
操作	223709
干部	222557
攻击者	222470
基础	222009
是一种	221912
控制	221775
中华人民	221374
训练	219915
有限公司	219809
出现	218710
个人	218634
不能	218279
单位	218131
力量	217904
重要	216868
我觉得	215292
完全	215175
专业	215156
程序	215129
需求	215047
开发	214776
第一	214621
平方公里	214486
地址	213144
主席	212762
代表团	211989
最终	211697
采用	211536
应该	211246
每个	210826
文章	210250
信息安全	210072
关注	209968
计算	209841
一切	209560
农民	209300
真的	208453
水平	208190
人类	207101
位於	206613
它们	206552
环境	206090
它的	206037
大量	205098
按照	205022
有关	204992
形成	204929
基础设施	204102
产生	203894
时代	203736
全部	202799
推动	202493
成為	202159
加入	201911
函数	201846
报道	200723
团队	199994
会议	199970
整个	199246
一部分	199139
和平	198815
超过	198815
这次	198468
电影	197802
数字	197201
消息	197187
更新	197148
于是	196613
有什么	196580
工程	196418
宣布	196234
期间	196139
获取	195944
达到	195370
风险	195258
效果	194465
参数	194451
检测	194389
从而	194308
机器学习	194155
英国	194007
集团	193490
继续	193420
才能	193287
属于	192756
拥有	192500
年代	192067
一個	191652
形式	191635
测试	191532
具体	191181
了解	191158
论文	191024
通常	190876
位置	190578
提供了	190385
过去	190181
农村	190092
去年	189531
大部分	189288
系列	189157
发布	188855
当前	188534
最大的	188519
越南	188029
朋友	187243
取得	186067
包含	185210
相关	184922
你的	184877
推荐	184176
党的	183935
公里	183904
方向	183195
变化	182637
比较	182076
介绍	181065
觉得	180950
哪些	180853
多个	180703
结合	180317
努力	180187
就可以	179588
法国	179329
带来	179263
未来	178740
理解	178361
只要	178296
里面	178274
结构	178057
规定	177896
如果你	177862
民主	177822
毛泽东	177187
改革	177098
数量	176890
行动	176364
他说	176153
下面	176068
特别是	175836
就会	175741
不知道	174858
人员	174533
大会	173264
你们	173099
语言	173070
都有	172924
视频	172015
请求	171934
农业	171549
及其	169842
有的	169768
朝鲜	169535
不断	169173
战争	168846
负责	168384
数据库	168256
构建	167840
有一个	167459
方案	167439
以来	166990
也可以	166850
第二	166591
讨论	166548
机制	166431
不仅	166237
协议	166185
一位	165916
是在	165272
图片	164651
状态	164391
机构	164207
部署	164148
个人信息	164115
第一个	164024
俄罗斯	164008
每天	163812
有人	163659
科学	162665
手机	162367
无产阶级	162197
道路	161763
生成	161002
总统	160974
美國	160838
权限	160729
他在	160700
准备	160161
实行	160114
配置	159798
分享	159438
女性	159294
联合	158485
点击	158380
青年	157832
几个	157819
是不是	157247
同样	157243
输入	156892
设置	156377
民族	156307
促进	156084
我是	156083
采取	155988
黑客	155802
习近平	155449
正式	155413
孩子	155399
共有	155123
关键	155048
保证	154681
创建	154429
数据安全	154426
应用程序	154270
图像	154037
投资	154007
策略	153844
每年	153710
各地	153243
原则	153038
担任	152815
同年	152463
而不是	151658
尽管	151513
喜欢	151263
解决方案	151165
限制	150992
实施	150844
由於	150481
本身	150345
直到	149890
可是	149773
接受	149396
国务院	149311
总理	149308
有了	149011
再次	148261
到了	148161
参与	148119
分别	147916
概念	147676
目的	147553
框架	147438
条件	147229
并没有	147212
不少	147211
共同	147020
非常	146744
查看	146454
不要	146366
一定	145780
法律	145703
提出了	145622
价值	145569
人民的	145263
对象	144914
公众号	144554
创新	144525
汽车	144340
一个人	144328
空间	143772
教授	143660
進行	143604
平均	143284
修改	143252
之後	142872
扫描	142738
全面	142584
三个	142416
至少	142152
推出	141958
是个	141928
措施	141647
核心	141629
观点	141458
进程	141294
传统	141131
实际	141051
负责人	141014
内部	140815
首次	140591
场景	140235
微信	140191
使得	140100
基础上	140060
架构	139949
那个	139935
只能	139870
上面	139746
相比	139700
找到	139213
维护	138968
工程师	138864
挑战	138772
识别	138476
现象	138471
强调	138436
战略	138435
来源	138355
联合国	138354
主要是	138333
曾经	138311
仍然	138043
所有的	138031
研究人员	138011
一点	137889
什么样的	137854
比赛	137830
平方千米	137744
下载	137555
人才	137523
真正	137509
保持	137426
左右	137372
女生	137350
错误	137204
身份	137132
特别	136829
模块	136243
家庭	136154
本文	136146
谢邀	135989
亿元	135941
预测	135879
自由	135863
速度	135698
经常	135683
大型	135553
评论	135506
加密	135256
部队	135253
所谓	135245
解放军	135075
军队	135057
劳动	135042
发生	134938
更多	134912
开放	134767
部门	134382
台灣	134307
老师	134165
知识	133933
改变	133772
某些	133112
注意	132980
记录	132737
路线	132675
实验室	132477
情报	132468
定义	132436
亿美元	132408
产业	132389
尤其是	132246
更加	132173
不会	132152
体系	132123
自然	131799
最高	131765
描述	131649
同学	131605
相关的	131578
胜利	131497
机器	131255
无法	131217
前往	131166
是由	131105
行政	130948
知道	130791
也就是	130743
生平	130667
连接	130559
总结	130499
客户	130463
说明	130438
就能	130378
欢迎	129904
实际上	129835
很大	129739
输出	129624
即使	129158
以前	129137
万元	129054
照片	128760
在中国	128355
大多数	128225
一定要	128193
类型	128191
双方	128165
检查	128102
中共	128025
链接	127632
并不是	127615
因為	127220
事业	127207
安装	127179
工厂	127163
流量	126928
增长	126818
恶意	126791
一条	126373
确保	126166
样本	126159
成绩	125944
团结	125854
地區	125759
新闻	125573
联系	125426
价格	125347
世纪	125257
怎么	125197
那种	125028
之外	124862
出版	124688
总书记	124495
欧洲	124475
独立	124369
远程	124336
都会	124255
有效	124078
起来	123947
擔任	123931
其它	123862
搜索	123839
開始	123690
应当	123650
重新	123561
深度学习	123523
名字	123456
增强	123423
